"model","method","sites","weight","minCR","site.select.cr","age.transform","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
49,"rf","RFsites","ci.wt","minCR2","cr3","none",3.6,1.22,6.67,0.77,-0.36,1.84,2.97,7.48,3.66,0.8,-8.37
49,"svm","RFsites","ci.wt","minCR2","cr3","none",3.44,1.38,5.87,0.81,-1,2.06,2.64,8.98,2.39,0.13,-8.08
50,"gam","RFsites","ci.wt","minCR3","cr3","none",4.87,2.96,7.95,0.69,0.22,5,3.81,8.03,2.93,1.79,-6.92
50,"glmnet","RFsites","ci.wt","minCR3","cr3","none",3.9,1.83,6.55,0.76,-0.3,4,2.92,6.93,2.27,1.74,-8.27
50,"rf","RFsites","ci.wt","minCR3","cr3","none",3.3,1.27,6.24,0.77,-0.17,1.92,3.15,6.26,3.61,0.95,-7.8
50,"svm","RFsites","ci.wt","minCR3","cr3","none",2.82,1.35,5.54,0.83,-0.44,1.72,2.15,5.57,2.43,0.82,-7.1
51,"gam","RFsites","ci.wt","minCR4","cr3","none",6.22,3.51,9.08,0.66,1.07,5.98,5.48,7.81,2.52,2.06,-3.09
51,"glmnet","RFsites","ci.wt","minCR4","cr3","none",4.41,2.04,6.14,0.8,-0.09,4.33,3.59,6.77,2.62,1.65,-7.59
51,"rf","RFsites","ci.wt","minCR4","cr3","none",4,2.04,6.81,0.75,-0.03,2.52,3.5,7.07,4.33,1.2,-8.62
51,"svm","RFsites","ci.wt","minCR4","cr3","none",3.36,1.78,5.27,0.83,-0.16,2.48,3.13,5.33,1.87,1.49,-6.53
52,"gam","RFsites","CR","minCR2","cr3","none",4.29,1.5,6.25,0.72,-0.07,4,3.29,9.61,2.79,1.48,-7.33
52,"glmnet","RFsites","CR","minCR2","cr3","none",3.72,1.77,7.14,0.77,-0.62,3.19,2.86,8.22,2.09,1.6,-9.17
