"model","method","sites","weight","minCR","site.select.cr","age.transform","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
103,"svm","RFsites","ci.wt","minCR2","cr2","ln",3.3,1.68,6.37,0.79,-1.35,1.68,3.3,6.88,2.68,-0.88,-7.87
104,"gam","RFsites","ci.wt","minCR3","cr2","ln",3.31,1.3,8.06,0.6,-0.02,2.66,2.81,10.13,3.18,0.43,-5.37
104,"glmnet","RFsites","ci.wt","minCR3","cr2","ln",2.84,1.85,6.01,0.73,-1.02,2.11,2.65,10.17,2.32,0,-7.78
104,"rf","RFsites","ci.wt","minCR3","cr2","ln",3.72,0.9,5.8,0.77,-1.34,1.06,3.72,7.55,2.66,-0.29,-9.08
104,"svm","RFsites","ci.wt","minCR3","cr2","ln",3.37,1.93,6.35,0.79,-1.39,2.74,3.32,7.44,3.08,-0.73,-8.91
105,"gam","RFsites","ci.wt","minCR4","cr2","ln",4.13,1.5,10.13,0.56,0.7,1.91,3.46,9.8,3.35,1.52,-4.68
105,"glmnet","RFsites","ci.wt","minCR4","cr2","ln",4.08,1.7,8.56,0.63,-0.95,3.1,3.73,11.51,2.98,0.37,-9.19
105,"rf","RFsites","ci.wt","minCR4","cr2","ln",3.73,1.32,6.18,0.72,-1.32,1.8,2.77,8.49,3.4,0.05,-10.75
105,"svm","RFsites","ci.wt","minCR4","cr2","ln",3.32,1.34,6.49,0.8,-0.76,1.6,3.46,6.64,2.22,0.64,-7.88
106,"gam","RFsites","CR","minCR2","cr2","ln",3.3,1.14,6.14,0.71,-0.4,2.29,2.58,6.92,2.93,-0.38,-5
106,"glmnet","RFsites","CR","minCR2","cr2","ln",3.55,1.69,6.57,0.73,-1.45,1.67,3.55,10,1.99,-0.36,-8.53
106,"rf","RFsites","CR","minCR2","cr2","ln",3.47,1.25,6.23,0.78,-1.68,1.13,3.12,8.68,2.64,-0.7,-9.7
106,"svm","RFsites","CR","minCR2","cr2","ln",3.1,1.33,4.29,0.84,-1.19,1.9,3.44,6.7,2.58,-1.02,-6.68
107,"gam","RFsites","CR","minCR3","cr2","ln",3.49,1.77,7.11,0.65,0.36,2.98,2.87,7.37,3,0.56,-3.69
107,"glmnet","RFsites","CR","minCR3","cr2","ln",3.48,2.01,6.24,0.73,-1,2,3.48,10.54,2.29,0.1,-7.86
107,"rf","RFsites","CR","minCR3","cr2","ln",3.62,1.1,5.66,0.78,-1.44,1.12,3.63,8.43,2.67,-0.51,-9.06
107,"svm","RFsites","CR","minCR3","cr2","ln",3.72,1.56,4.85,0.83,-1.08,1.93,4.03,6.4,2.61,-0.61,-7.15
108,"gam","RFsites","CR","minCR4","cr2","ln",3.92,1.21,7.75,0.68,-0.27,1.52,2.59,10.34,2.82,0.33,-5.8
108,"glmnet","RFsites","CR","minCR4","cr2","ln",4.25,1.57,7.02,0.68,-0.49,3.03,3.75,10.72,2.66,0.56,-7.11
108,"rf","RFsites","CR","minCR4","cr2","ln",3.88,1.46,7.37,0.73,-1.43,1.92,2.98,8.49,3.28,-0.11,-10.72
108,"svm","RFsites","CR","minCR4","cr2","ln",2.7,0.91,5.44,0.82,-0.79,2.16,2.25,7.12,2.49,0.28,-7.57
109,"gam","RFsites","none","minCR2","cr3","ln",3.32,1.92,6.82,0.6,-0.56,2.62,3.1,10.11,2.64,-0.61,-4.81
109,"glmnet","RFsites","none","minCR2","cr3","ln",2.85,1.6,6.36,0.74,-1.75,2.02,2.69,9.94,2.19,-1,-8.78
109,"rf","RFsites","none","minCR2","cr3","ln",3.73,1.09,6.09,0.77,-1.59,1.1,3.58,8.99,2.68,-0.48,-9.83
109,"svm","RFsites","none","minCR2","cr3","ln",3.36,2.01,5.98,0.8,-1.4,2.03,3.5,7.64,2.74,-0.93,-8.07
110,"gam","RFsites","none","minCR3","cr3","ln",3.21,1.7,9.19,0.59,0.25,2.42,3.01,9.96,3.27,0.95,-5.37
110,"glmnet","RFsites","none","minCR3","cr3","ln",2.95,1.92,6.29,0.72,-0.95,2,2.88,10.12,2.34,-0.02,-7.44
110,"rf","RFsites","none","minCR3","cr3","ln",3.73,0.98,5.67,0.77,-1.28,1,3.73,7.03,2.62,-0.27,-8.81
110,"svm","RFsites","none","minCR3","cr3","ln",3.49,1.97,5.17,0.82,-0.85,1.99,3.6,6.32,2.88,-0.23,-7.3
111,"gam","RFsites","none","minCR4","cr3","ln",4.33,1.47,10.57,0.54,0.64,4.02,3.32,9.68,3.79,1.17,-4.79
111,"glmnet","RFsites","none","minCR4","cr3","ln",3.78,1.6,8.01,0.68,-0.46,2.47,3.58,11.02,2.92,0.77,-7.75
111,"rf","RFsites","none","minCR4","cr3","ln",3.68,1.33,6.21,0.72,-1.22,1.71,2.64,8.5,3.44,0.16,-10.58
111,"svm","RFsites","none","minCR4","cr3","ln",3.32,1.34,6.49,0.8,-0.76,1.6,3.46,6.64,2.22,0.64,-7.88
112,"gam","RFsites","ci.wt","minCR2","cr3","ln",3.33,2.04,7.2,0.64,-0.18,2.32,3.41,8.23,2.41,-0.16,-3.78
112,"glmnet","RFsites","ci.wt","minCR2","cr3","ln",3.27,1.69,7.6,0.75,-1.81,1.53,3.27,9.63,1.93,-0.89,-8.91
112,"rf","RFsites","ci.wt","minCR2","cr3","ln",3.75,1.34,6.28,0.76,-1.64,1.22,3.75,8.69,2.66,-0.59,-9.8
112,"svm","RFsites","ci.wt","minCR2","cr3","ln",3.48,1.87,6.32,0.79,-1.68,2.57,3.4,8.6,2.75,-1.05,-9.11
113,"gam","RFsites","ci.wt","minCR3","cr3","ln",3.99,2.27,8.37,0.65,-0.1,2.71,3.59,10.85,2.77,0.42,-5.14
113,"glmnet","RFsites","ci.wt","minCR3","cr3","ln",3.29,1.73,7.16,0.74,-1.37,1.79,3.34,8.99,2.15,-0.18,-8.76
113,"rf","RFsites","ci.wt","minCR3","cr3","ln",3.72,1.07,5.66,0.77,-1.48,1.08,3.72,8.7,2.57,-0.51,-9.13
113,"svm","RFsites","ci.wt","minCR3","cr3","ln",4.05,1.98,5.59,0.82,-1.18,1.77,4.33,5.96,2.08,-0.21,-7.75
114,"gam","RFsites","ci.wt","minCR4","cr3","ln",3.11,1.05,7.93,0.69,-0.17,2.21,1.93,8.65,2.78,0.44,-5.52
114,"glmnet","RFsites","ci.wt","minCR4","cr3","ln",4.63,1.62,7.56,0.69,-0.51,2.63,5,10.87,2.28,0.86,-7.31
114,"rf","RFsites","ci.wt","minCR4","cr3","ln",3.72,1.43,7.09,0.72,-1.44,1.83,3.24,9.3,3.33,-0.03,-10.99
114,"svm","RFsites","ci.wt","minCR4","cr3","ln",3.26,1.18,6.03,0.82,-0.92,1.56,4.14,7.72,2.04,0.35,-7.72
115,"gam","RFsites","CR","minCR2","cr3","ln",3.48,1.94,6.87,0.66,-0.17,2.24,3.48,8.09,2.57,-0.47,-3.27
115,"glmnet","RFsites","CR","minCR2","cr3","ln",3.4,1.71,5.83,0.75,-1.51,1.7,3.4,9.75,1.97,-0.69,-8.07
115,"rf","RFsites","CR","minCR2","cr3","ln",3.56,1.22,6.29,0.77,-1.69,1.08,3.5,8.58,2.66,-0.64,-9.91
115,"svm","RFsites","CR","minCR2","cr3","ln",3.4,2.28,5.88,0.82,-1.54,1.13,3.7,5.89,2.01,-0.84,-7.91
116,"gam","RFsites","CR","minCR3","cr3","ln",3.71,2.04,7.46,0.64,0,2.57,3.51,8.06,2.84,0.04,-3.97
116,"glmnet","RFsites","CR","minCR3","cr3","ln",3.35,1.75,6.99,0.75,-1.36,1.83,3.5,8.83,2.12,-0.21,-8.63
116,"rf","RFsites","CR","minCR3","cr3","ln",3.83,1.06,5.53,0.77,-1.43,1.13,3.83,9.37,2.65,-0.43,-9.19
116,"svm","RFsites","CR","minCR3","cr3","ln",3.9,1.99,5.82,0.83,-1.25,1.83,4.11,6.14,2.14,-0.3,-7.94
117,"gam","RFsites","CR","minCR4","cr3","ln",3.38,1.17,8.68,0.66,0.12,1.21,3.16,5.55,3.69,0.69,-5.99
117,"glmnet","RFsites","CR","minCR4","cr3","ln",4.42,1.34,7.79,0.69,-0.03,2.75,4.66,10.08,2.44,1.42,-6.55
117,"rf","RFsites","CR","minCR4","cr3","ln",3.67,1.41,7.01,0.72,-1.43,1.89,3.25,9.36,3.29,-0.06,-10.87
117,"svm","RFsites","CR","minCR4","cr3","ln",3.19,1.26,5.61,0.83,-0.97,1.59,3.58,7.62,1.94,0.25,-7.62
118,"gam","RFsites","none","minCR2","cr4","ln",2.82,1.6,6.08,0.62,-0.49,2.33,2.42,11.36,2.58,-0.31,-5.04
118,"glmnet","RFsites","none","minCR2","cr4","ln",3.2,1.69,6.73,0.73,-1.63,1.88,2.92,9.29,2.21,-0.56,-9.22
118,"rf","RFsites","none","minCR2","cr4","ln",3.2,1.28,6.44,0.79,-1.57,1.18,2.85,9,2.69,-0.64,-9.39
118,"svm","RFsites","none","minCR2","cr4","ln",2.7,1.8,4.99,0.86,-1.02,1.94,3.07,5.44,2.35,-0.76,-6.2
119,"gam","RFsites","none","minCR3","cr4","ln",3.44,1.86,7.43,0.59,0.17,2.39,2.76,10.11,3.13,0.88,-5.4
119,"glmnet","RFsites","none","minCR3","cr4","ln",3.19,1.89,6.46,0.72,-0.88,2.07,2.96,10.63,2.47,0.19,-7.76
119,"rf","RFsites","none","minCR3","cr4","ln",3.02,0.95,6.11,0.78,-1.33,1.12,2.86,7.71,2.62,-0.43,-8.69
119,"svm","RFsites","none","minCR3","cr4","ln",2.94,1.7,5.34,0.85,-0.87,1.77,2.95,6.06,2.45,-0.23,-6.79
120,"gam","RFsites","none","minCR4","cr4","ln",5.02,1.74,8.89,0.63,0.29,1.75,3.34,10.25,3.22,0.97,-5.16
120,"glmnet","RFsites","none","minCR4","cr4","ln",3.65,1.59,8.11,0.69,-0.7,2.84,2.88,9.66,2.74,0.44,-7.87
120,"rf","RFsites","none","minCR4","cr4","ln",3.76,1.61,7,0.73,-1.15,1.93,3.13,9.5,3.65,0.1,-10.41
120,"svm","RFsites","none","minCR4","cr4","ln",3.03,1.23,4.59,0.84,-0.75,1.99,2.85,6.77,2.29,0.28,-7.13
121,"gam","RFsites","ci.wt","minCR2","cr4","ln",3.34,1.38,5.56,0.79,-0.57,2.45,3.04,7.42,2.65,0.24,-6.7
121,"glmnet","RFsites","ci.wt","minCR2","cr4","ln",3.32,1.93,8.08,0.73,-1.75,2.12,3.23,10.44,2.5,-0.41,-10.48
121,"rf","RFsites","ci.wt","minCR2","cr4","ln",3.63,1.33,6.47,0.76,-1.64,1.33,3.5,9.85,2.66,-0.51,-9.98
121,"svm","RFsites","ci.wt","minCR2","cr4","ln",3.71,1.76,6.22,0.8,-0.86,2.02,3.44,6.24,3.35,-0.38,-7.67
122,"gam","RFsites","ci.wt","minCR3","cr4","ln",3.54,1.96,7.41,0.69,-0.5,2.59,3.32,8.9,3.16,1.28,-9.38
122,"glmnet","RFsites","ci.wt","minCR3","cr4","ln",3.79,1.97,7.97,0.71,-1.06,2.5,3.29,9.43,2.61,0.32,-9.09
122,"rf","RFsites","ci.wt","minCR3","cr4","ln",3.7,1.33,6.01,0.76,-1.45,1.28,3.53,8.66,2.62,-0.32,-9.48
122,"svm","RFsites","ci.wt","minCR3","cr4","ln",4.47,1.4,6.95,0.77,-0.6,2.51,4.47,7.34,3.09,0.51,-8.05
123,"gam","RFsites","ci.wt","minCR4","cr4","ln",4.88,1.2,8.82,0.66,0.95,1.84,5.55,6.38,3.63,2.29,-5.62
123,"glmnet","RFsites","ci.wt","minCR4","cr4","ln",3.99,1.85,8.86,0.67,-1.1,1.98,3.19,9.97,2.69,0.66,-10.12
123,"rf","RFsites","ci.wt","minCR4","cr4","ln",3.67,1.25,6.93,0.71,-1.43,1.85,3.04,9.02,3.36,-0.08,-10.91
123,"svm","RFsites","ci.wt","minCR4","cr4","ln",3.5,2.3,7.4,0.78,-0.37,2.39,3.5,8.56,2.81,1.43,-8.63
124,"gam","RFsites","CR","minCR2","cr4","ln",2.97,1.17,5.66,0.73,-0.57,2.41,2.52,7.53,2.44,-0.56,-4.7
124,"glmnet","RFsites","CR","minCR2","cr4","ln",2.98,1.87,6.15,0.76,-1.53,1.6,2.96,9.64,2.02,-0.6,-8.41
124,"rf","RFsites","CR","minCR2","cr4","ln",3.58,0.79,6.39,0.79,-1.64,1.11,3.55,9.3,2.6,-0.69,-9.49
124,"svm","RFsites","CR","minCR2","cr4","ln",3.26,1.78,5.56,0.81,-1.48,2.15,3.21,8.64,2.54,-0.88,-8.26
125,"gam","RFsites","CR","minCR3","cr4","ln",3.49,1.74,7.01,0.65,0.23,2.78,2.87,7.37,2.89,0.34,-3.64
125,"glmnet","RFsites","CR","minCR3","cr4","ln",2.95,1.83,5.67,0.75,-0.96,2.03,2.95,9.83,2.26,-0.04,-7.37
125,"rf","RFsites","CR","minCR3","cr4","ln",3.24,0.93,6.22,0.78,-1.38,1.01,2.91,7.81,2.63,-0.4,-8.98
125,"svm","RFsites","CR","minCR3","cr4","ln",3.25,0.85,5.55,0.82,-1.1,0.95,3.3,6.93,1.99,0.04,-7.83
126,"gam","RFsites","CR","minCR4","cr4","ln",4.71,1.68,7.43,0.65,0.89,1.87,4.68,12.29,2.77,2.65,-5.53
126,"glmnet","RFsites","CR","minCR4","cr4","ln",4.13,1.85,7.4,0.65,-0.55,2.89,4.15,10.53,2.75,0.85,-8.09
126,"rf","RFsites","CR","minCR4","cr4","ln",3.93,1.36,6.28,0.73,-1.41,1.75,3.14,9.1,3.26,-0.07,-10.71
126,"svm","RFsites","CR","minCR4","cr4","ln",3.01,1.23,5.58,0.83,-0.58,1.54,2.81,6.97,2.42,0.63,-7.3
