"","model","method","swfsc.id","age.pred","age.best","resid","dev","sq.err","best.age.bin","pred.age.bin","age.pred.ran.mode","lower","upper","hdi.range","crc.id","biopsy.id","date.biopsy","sex","age.confidence","age.min","age.max","age.class","pair.id","confidence.wt","sex.num","sn.location","sn.scale","sn.shape","age.range","age.var","dens.unif","wtd.unif","sn.age.offset","Collection_Method"
"20",21,"svm","z0045931",5.56023754910104,7,-1.43976245089896,1.43976245089896,2.07291591501858,0,0,5.89138536150229,0,11.0440713368311,11.0440713368311,"HIPc178","RWB130904.06",2004-09-12 21:00:00,"Male",4,5,9,"sub.adult",NA,0.75,2,6.88144881434084,1.02725135865404,0.145771103294223,4,1.04126736410313,0.25,0.0625,6.88211204618039,"BIOPSY (PROJECTILE)"
"21",21,"svm","z0049046",12.5724506215754,6,6.57245062157536,6.57245062157536,43.1971071730463,0,10,13.0205027147435,8.11327931812936,18.1347842293483,10.021504911219,"HIPc391","MAC050807.25",2005-08-06 21:00:00,"Female",3,3,13,"sub.adult",NA,0.55,1,4.1238127511646,3.96010370626882,3.06195244654942,10,6.66091872321347,0.1,0.045,4.12381275116208,"BIOPSY (PROJECTILE)"
"22",21,"svm","z0049048",15.4862169226607,11,4.48621692266066,4.48621692266066,20.1261422771669,10,10,17.4983379380924,12.9369133302452,22.1412912892293,9.2043779589841,"HIPc149","MAC20050807.27",2005-08-06 21:00:00,"Male",2,8,21,"adult.f.sm",NA,0.2,2,8.83601235613676,5.42694881272571,4.46946808606394,13,11.5960447073921,0.0769230769230769,0.0615384615384615,8.83599576129211,"BIOPSY (PROJECTILE)"
"23",21,"svm","z0049050",23.7149378417252,11,12.7149378417252,12.7149378417252,161.669644318935,10,10,26.2642313542039,20.9045386089216,32.7708973843812,11.8663587754596,"HIPc196","MAC20050807.29",2005-08-06 21:00:00,"Male",3,7,16,"adult.f.sm",NA,0.55,2,9.43151379534846,2.93102707375364,1.25298993147918,9,5.24985747570661,0.111111111111111,0.05,9.43151379540486,"BIOPSY (PROJECTILE)"
"24",21,"svm","z0049051",26.1486503412572,37,-10.8513496587428,10.8513496587428,117.751789416298,25,25,27.6938143988947,22.9746335728611,33.182483335493,10.2078497626319,"HIPc221","MAC20050807.30",2005-08-06 21:00:00,"Female",4,33,51,"adult.f.sm",NA,0.75,1,34.0654391120803,7.5553405371273,4.69469848813965,18,22.3201511490064,0.0555555555555556,0.0138888888888889,34.0654391120941,"BIOPSY (PROJECTILE)"
"25",21,"svm","z0049052",32.7149417034679,34,-1.28505829653209,1.28505829653209,1.65137482548595,25,25,32.0548962641413,27.5446839792578,37.2034342041098,9.65875022485203,"HIPc015","MAC20050807.31",2005-08-06 21:00:00,"Male",4,29,49,"adult.pm",NA,0.75,2,30.529030549514,8.24080796363138,4.01199633705171,20,27.2063295364376,0.05,0.0125,30.5290305495178,"BIOPSY (PROJECTILE)"
"26",21,"svm","z0061425",21.3263289935549,26,-4.67367100644515,4.67367100644515,21.843200676486,25,10,22.0097560456301,18.0498118083298,27.8149194199864,9.76510761165657,"HIPc197","RWB2006NOV16.01",2006-11-15 22:00:00,"Male",4,23,31,"adult.pm",NA,0.75,2,24.4449378694176,2.92453586753674,2.03083896339729,8,4.17053168869079,0.125,0.03125,24.4449353170274,"BIOPSY (PROJECTILE)"
"27",21,"svm","z0071016",12.0912111420695,8,4.09121114206946,4.09121114206946,16.7380086089933,0,10,10.8846254584952,6.05969658961294,16.433793999926,10.374097410313,"HIPc217","RWB2007AUG15.02",2007-08-14 21:00:00,"Male",3,5,15,"sub.adult",NA,0.55,2,6.12381275115194,3.9601037062796,3.06195244657815,10,6.66091872323342,0.1,0.045,6.12381275116366,"BIOPSY (PROJECTILE)"
"28",21,"svm","z0075660",17.565129947738,18,-0.434870052262049,0.434870052262049,0.189111962354397,10,10,19.3265539538118,13.762122646516,26.1729309499371,12.4108083034211,"HIPc179","RWB2008JUL16.01",2008-07-15 21:00:00,"Male",4,15,23,"adult.f.sm",NA,0.75,2,16.4449342167075,2.92453749720417,2.03083718198458,8,4.17053783702088,0.125,0.03125,16.4449342167079,"BIOPSY (PROJECTILE)"
"29",21,"svm","z0075663",25.8029406088869,18,7.80294060888685,7.80294060888685,60.8858821458155,10,25,26.2002409059488,21.4543362019573,31.22137979691,9.76704359495275,"HIPc102","RWB2008JUL16.04",2008-07-15 21:00:00,"Male",3,14,38,"adult.f.sm",NA,0.55,2,14.7189509217106,10.3868210703794,6.63350819866065,24,40.7298171718769,0.0416666666666667,0.01875,14.7189509217137,"BIOPSY (PROJECTILE)"
"30",21,"svm","z0075665",29.3543830645741,27,2.35438306457409,2.35438306457409,5.54311961475329,25,25,31.3120233719026,26.6594807087706,37.3436241047311,10.6841433959606,"HIPc117","RWB2008Jul16.06",2008-07-15 21:00:00,"Female",3,23,47,"adult.f.sm",NA,0.55,1,23.7189509218936,10.3868210702895,6.63350819786325,24,40.7298171715312,0.0416666666666667,0.01875,23.7189509214859,"BIOPSY (PROJECTILE)"
"31",21,"svm","z0075676",10.7387931370215,9,1.73879313702146,1.73879313702146,3.02340157335294,0,10,10.9374606317249,6.43535914455101,15.2255847679409,8.79022562338985,"HIPc214","RWB2008JUL26.01",2008-07-25 21:00:00,"Female",4,6,14,"sub.adult",NA,0.75,1,7.44493421671842,2.92453749719462,2.03083718196696,8,4.1705378370085,0.125,0.03125,7.44493421671062,"BIOPSY (PROJECTILE)"
"32",21,"svm","z0075677",4.95313608626615,4,0.953136086266147,0.953136086266147,0.908468398942748,0,0,4.94165393408427,0,9.17946014710971,9.17946014710971,"HIPc312","RWB2008JUL26.02",2008-07-25 21:00:00,"Female",5,2,6,"juvenile",NA,1,1,3.93113652131443,1.02273386370596,0.0846391077066238,4,1.04124816604036,0.25,0,3.93124574649275,"BIOPSY (PROJECTILE)"
"33",21,"svm","z0075678",10.8063124916977,7,3.80631249169767,3.80631249169767,14.4880147844537,0,10,11.7906036068006,5.13960084327189,16.7889681340712,11.6493672907993,"HIPc282","RWB2008JUL26.03",2008-07-25 21:00:00,"Female",4,5,9,"sub.adult",NA,0.75,1,6.88144881434084,1.02725135865404,0.145771103294223,4,1.04126736410313,0.25,0.0625,6.88211204618039,"BIOPSY (PROJECTILE)"
